財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2025/03,182125000000,68355000000,57902000000,47725000000,28770000000,35604000000,5600.12,36.5
130A,2025/12,1884912000,1783876000,1783876000,-629065000,-,-,274.99,94.6
1332,2025/03,634878000000,285939000000,223806000000,171996000000,114104000000,95832000000,891.31,43.6
1333,2025/03,681211000000,275396000000,197090000000,141324000000,133069000000,99842000000,1519.23,33.7
135A,2026/02,-,-,-,-,-,-,203.39,-
1375,2025/03,37868000000,12525000000,12366000000,18334000000,-,15435000000,309.89,32.7
1376,2025/05,49320424000,25013918000,23713139000,21367459000,-,-,2244.86,50.7
1377,2025/05,190986000000,161768000000,143534000000,126607000000,2281000000,587000000,3729.64,84.5
1379,2025/03,107620000000,56808000000,54420000000,47044000000,7097000000,12672000000,1817.33,52.8
137A,2025/05,1057970000,889690000,887055000,428063000,-,-,298.57,83.9
1380,2025/03,7126124000,2186880000,2123196000,861486000,1564124000,1713918000,523.35,30.6
1381,2025/06,25075000000,21601000000,21398000000,20519000000,-,-,3846.35,86.1
1382,2025/06,1069690000,756207000,756207000,224626000,-,-,992.85,70.7
1383,2025/10,6058767000,2174388000,2102447000,795082000,650000000,1406721000,1322.13,34.9
1384,2025/03,19216000000,14153000000,13966000000,12157000000,-,1134000000,1673.03,73.7
138A,2025/11,2652516000,1310100000,1310100000,506996000,-,624052000,1320.67,49.4
1401,2025/05,4878389000,3696628000,3681456000,3274610000,-,-,518.32,75.8
1407,2025/08,148546000000,36537000000,35890000000,39130000000,23963000000,70108000000,913.36,24.4
1414,2025/06,129155000000,106392000000,102712000000,80472000000,-,-,514.51,81.4
1417,2025/03,537739000000,269877000000,245748000000,201526000000,42596000000,40495000000,2914.94,48.6
1418,2026/02,-,-,-,-,-,-,306.55,-
1419,2025/05,92302000000,34275000000,34368000000,27229000000,7530000000,7917000000,1181.38,37.1
141A,2025/06,300283000000,129028000000,125194000000,81875000000,26500000000,9031000000,1031.28,42
1420,2025/03,50553241000,15321096000,15350070000,6770994000,3690000000,9913000000,1367.23,30.3
1429,2025/12,25810383000,11633907000,11633185000,9168917000,4800000000,-,361.18,45.1
142A,2025/03,2090700000,389870000,389870000,-246634000,102494000,327283000,134.32,18.6
1430,2025/05,24889765000,9760903000,9757593000,9329428000,270000000,3192780000,816.73,39.2
1431,2025/06,11523490000,4714566000,4714566000,2614029000,2033755000,1286033000,202.78,40.9
1433,2026/01,8333903000,5397535000,5249639000,2384000000,-,118056000,609.14,64.8
1434,2025/08,17647633000,7561332000,7429357000,5138012000,1324582000,3802718000,1077.64,42.4
1435,2025/12,15925254000,11167035000,11108533000,3938065000,341600000,525309000,124.2,70.1
1436,2025/04,13557474000,5302794000,5293129000,3498807000,1433400000,2968335000,1286.81,39
1438,2025/09,5776333000,4144481000,4045639000,3278956000,200000000,25272000,1277.24,71.7
1439,2024/12,-,-,-,-,-,-,1486.1,-
143A,2025/03,2177446000,1658230000,1170004000,849999000,-,-,626.59,55.2
1443,2025/03,16164939000,10916029000,10584448000,7991477000,-,2766632000,672.4,67.5
1444,2025/07,3457320000,1703731000,1709829000,1111051000,661000000,292934000,1564.92,49.3
1446,2025/09,6282008000,2961801000,2972385000,869970000,850000000,250000000,319.72,47.1
1447,2025/03,16998056000,2843379000,2684246000,23209000,4530000000,3865174000,108.38,15.6
1449,2025/12,654034000,368768000,368768000,282920000,-,123160000,173.13,56.4
1450,2025/03,11383251000,8223073000,8136797000,7591352000,-,-,945.32,72.2
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2025/12,3425892000,1847968000,1847874000,-785529000,30000000,1065938000,360.57,53.9
146A,2025/12,66877000000,17439000000,17418000000,12110000000,9928000000,26456000000,2259.16,26.1
147A,2025/03,13403349000,10355020000,9878888000,855057000,-,687505000,222.78,75
148A,2025/12,2884716000,1027586000,1026761000,377890000,81982000,95670000,535.59,35.6
1491,2025/03,16525875000,8182188000,8182188000,2014850000,1500000000,1177532000,567.8,49.5
149A,2025/12,1279685000,1047466000,1047466000,-60657000,60000000,-,326.69,81.9
150A,2025/03,2982602000,2038513000,2038223000,-287957000,176000000,91315000,362.46,68.3
1514,2025/03,29047000000,28024000000,27273000000,25254000000,-,-,468.76,96.5
1515,2025/03,240179000000,151971000000,117376000000,115864000000,12615000000,9771000000,1798.34,58.9
1518,2025/03,117627000000,65481000000,62060000000,59875000000,28707000000,3056000000,1165.08,55.5
151A,2025/06,4439368000,2272297000,2272297000,1728779000,131668000,207304000,271.03,51.2
153A,2025/12,2182217000,1656542000,1661073000,949398000,-,-,253.76,75.9
155A,2025/12,4072525000,1739548000,1739601000,1240973000,-,893570000,169.9,42.7
156A,2025/08,3896486000,2212450000,2157072000,1903950000,115000000,48266000,223.94,55.4
157A,2025/06,1821541000,1430970000,1430790000,903445000,-,40786000,456.71,78.5
1605,2025/12,7735198000000,5022903000000,4747158000000,3345830000000,541482000000,703264000000,4073.44,61.4
160A,2025/03,21407641000,4162977000,4162977000,3015943000,1130068000,7262855000,1164.14,19.4
165A,2025/03,10739803000,7008197000,6614645000,6842821000,-,-,67.89,61.6
1662,2025/03,681598000000,557257000000,458791000000,445499000000,-,-,2062.21,77.4
1663,2025/12,127773000000,108888000000,101107000000,80252000000,331000000,546000000,3945.3,82.4
166A,2025/09,83248712000,33005553000,31849026000,8484592000,10477225000,30057653000,518.09,38.4
167A,2025/03,230502000000,131450000000,127690000000,40604000000,30714000000,3699000000,3280.08,57
168A,2026/01,-,-,-,-,-,-,902.94,-
1711,2025/03,4705055000,738173000,606333000,-3821697000,1809192000,1552664000,59.31,12.9
1712,2025/02,29031000000,18966000000,17209000000,12872000000,1330000000,4002000000,1042.62,60.2
1716,2025/06,22247636000,19358154000,18988944000,18359448000,-,156270000,1709.54,86.4
1717,2025/03,8027863000,5597405000,5575947000,4928037000,-,-,477.77,69.5
1718,2025/12,38882459000,19532122000,16875947000,15517436000,5520000000,2723109000,15761.3,44.3
1719,2025/03,371974000000,172183000000,158641000000,145412000000,20982000000,6916000000,1092.11,46
1720,2025/03,274315000000,102667000000,95551000000,76145000000,5580000000,21130000000,959.27,37.1
1721,2025/03,539730000000,380983000000,366048000000,317908000000,2996000000,13000000,3177.56,69.3
1723,2025/03,52886000000,39495000000,38065000000,37856000000,-,-,2479.98,74.7
1724,2025/12,9820000000,6208000000,6001000000,4445000000,750000000,384000000,1361.28,63.2
1726,2025/03,41933000000,15067000000,14845000000,9293000000,14500000000,3476000000,333.45,35.7
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1
1736,2025/03,34671003000,22902212000,20953020000,20193030000,1306708000,329676000,1444.28,64.5
1738,2025/03,7457806000,4641061000,4589537000,4259535000,510000000,195014000,1145.06,62.2
173A,2025/03,6136089000,2726134000,2652591000,2445002000,-,-,648.15,44.4
1743,2025/09,-,-,-,-,-,-,4142.82,-
1757,2025/03,2950766000,-,-,-,-,-,0.06,0.7
1758,2026/01,-,-,-,-,-,-,4758.43,-
175A,2025/12,436972000,3183000,3183000,-899796000,326038000,6800000,2.16,0.7
1762,2025/03,269725000000,137756000000,136729000000,130932000000,15000000000,-,3954.9,51.1
1764,2025/06,16970783000,5379491000,5270475000,4015466000,2320530000,1987807000,4335.73,31.7
1766,2025/04,228663000000,133751000000,133127000000,128519000000,-,-,9948.9,58.5
1768,2025/03,12897052000,9059125000,8683476000,7602960000,-,-,1240.06,70.2
176A,2025/06,27063399000,10189743000,10168027000,8133445000,-,8739712000,532.55,37.6
1770,2025/03,30294025000,18984443000,18318589000,16974126000,355000000,-,2069.88,62.7
1771,2025/09,14326367000,9520247000,9285416000,8229981000,-,104834000,1920.51,66.5
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2
1776,2025/03,24555000000,13560000000,13274000000,10428000000,-,-,1475.41,55.2
1777,2025/03,24274000000,13335000000,13213000000,11244000000,-,-,1114.58,54.9
177A,2025/03,9066648000,5781821000,5672189000,3265071000,1500000000,375000000,1131.12,63.8
1780,2025/03,30835545000,23268906000,22242742000,18189807000,-,-,1229.39,75.5
1783,2025/09,9237238000,6376921000,6374264000,-4911951000,51000000,728895000,37.49,69
1786,2025/03,77574000000,51268000000,50116000000,44241000000,-,2824000000,390.67,66.1
1787,2025/03,12146221000,8730632000,8553418000,7306840000,-,-,3548.53,71.9
1788,2025/06,5086929000,3429963000,3257784000,1912278000,5000000,-,5439.51,66.5
1793,2025/03,90139000000,64862000000,60236000000,52179000000,3000000000,-,2552.23,72
1795,2025/09,8806700000,5277444000,5233225000,3111670000,-,127516000,5932.42,59.9
1798,2025/03,34144730000,15939185000,15579880000,12641148000,800000000,21649000,1464.72,46.7
1799,2025/03,83941535000,71657146000,67680445000,64254555000,-,-,3818.44,85.4
1801,2025/03,2428837000000,900699000000,729234000000,649200000000,115212000000,127799000000,5041.42,35.7
1802,2025/03,3042778000000,1210201000000,936681000000,852429000000,97532000000,127589000000,1628.87,38.1
1803,2025/03,2523771000000,923809000000,693234000000,612186000000,243576000000,132362000000,1260.47,34.1
1805,2024/03,150869000000,48803000000,47135000000,35948000000,18359000000,16487000000,2549.05,32.3
1807,2025/03,35432258000,21426700000,18558338000,16116293000,2800000000,-,3425.97,60.2
1808,2025/03,1365203000000,532033000000,500036000000,472561000000,15000000000,265000000000,1950.61,39
1810,2025/03,80887000000,50616000000,42319000000,39356000000,3000000000,-,1760.61,62.6
1811,2025/03,206761000000,96867000000,60916000000,57216000000,22050000000,14700000000,13525.63,46.8
1812,2025/03,3454592000000,1277988000000,999187000000,970255000000,379117000000,232246000000,2672.64,36.4
1813,2025/03,64148000000,34675000000,33337000000,15436000000,10500000000,850000000,2262.99,53.3
1814,2025/03,55595000000,22993000000,22758000000,18330000000,200000000,2654000000,2200.91,41.4
1815,2025/03,225102000000,70116000000,55532000000,34365000000,39845000000,16082000000,5011.32,31
1820,2025/03,592046000000,181190000000,158337000000,122249000000,42848000000,40364000000,4361.24,29.1
1821,2025/03,393474000000,77315000000,66351000000,57363000000,31530000000,35432000000,446.89,17.8
1822,2025/03,149842000000,73065000000,68338000000,17911000000,850000000,6000000000,810.62,47.7
1826,2025/03,27489000000,15522000000,14687000000,10773000000,302000000,326000000,1007.71,56.5
1827,2025/03,80669000000,44458000000,39180000000,32754000000,624000000,50000000,1246.48,53.1
1828,2025/03,45976310000,24988184000,24099592000,22013044000,400000000,975000000,2381.01,54.3
1832,2025/03,49800000000,33311000000,30546000000,23788000000,-,-,1607.75,66.9
1833,2025/03,393466000000,172455000000,138653000000,100276000000,43801000000,5006000000,4894.04,45.1
1835,2025/03,181115422000,120777353000,113138434000,111041273000,10000000000,-,3473.85,66
1840,2025/10,26989584000,13041058000,12694308000,1126197000,-,3000000000,505.96,48.3
1841,2025/03,14426000000,11582144000,11390877000,11413931000,-,94872000,3564.3,80.3
1844,2025/07,12037244000,5949765000,5871488000,1785207000,291174000,4018633000,314.75,48.8
1847,2025/03,67584000000,34069000000,33168000000,28652000000,1917000000,4661000000,2345.13,50.4
1848,2025/03,37756000000,12308000000,12062000000,8307000000,10119000000,612000000,697.23,32.6
184A,2025/04,219672000,135417000,135417000,-258819000,-,17849000,59.79,61.7
1850,2025/03,42867000000,17290000000,16852000000,13153000000,5880000000,100000000,599.74,40.3
1852,2025/03,115240000000,46138000000,42411000000,32706000000,8310000000,11221000000,567.02,39.7
1853,2025/03,25301000000,14901000000,14691000000,12853000000,800000000,-,454.97,58.9
1860,2025/03,923572000000,353197000000,256849000000,223857000000,65572000000,111681000000,1140.46,37.1
1861,2025/03,462533000000,181829000000,168143000000,123852000000,8109000000,34026000000,1059.07,39.3
1866,2025/03,75589000000,47229000000,40331000000,31458000000,-,-,1920.5,61.7
1867,2025/03,50897737000,29062224000,28122578000,17672314000,1874488000,1829798000,4419.87,57
1869,2025/03,109716000000,73998000000,63518000000,61050000000,2368000000,1414000000,2920.3,67.2
186A,2025/04,33625291000,6126355000,6126355000,-14219530000,8525960000,2275090000,52.13,18.2
1870,2025/03,144220000000,68835000000,71802000000,58620000000,26600000000,12000000000,1599.55,47.7
1871,2025/03,130836000000,57880000000,53890000000,41992000000,9500000000,4700000000,1237.91,44.2
1873,2025/04,42396000000,22031000000,21558000000,17656000000,2472000000,4795000000,541.85,51.1
1878,2025/03,1221992000000,467365000000,464286000000,445821000000,9311000000,44530000000,1407.46,38.4
1879,2025/03,172954000000,122313000000,121717000000,115187000000,-,-,2091.17,70.7
1882,2025/03,90721000000,56931000000,52410000000,40991000000,5450000000,450000000,1197.35,61.1
1884,2025/03,156741000000,104761000000,103377000000,76569000000,100000000,9600000000,2379.77,66.7
1885,2025/03,298939000000,107873000000,96047000000,66912000000,29510000000,9960000000,1342.69,35.6
1887,2025/05,140649000000,66429000000,64518000000,47588000000,12995000000,15610000000,831.36,47.1
1888,2025/03,91890000000,49858000000,43998000000,30194000000,12190000000,378000000,3802.75,52.6
1890,2025/03,180459000000,80075000000,71413000000,51772000000,12355000000,11650000000,820.46,42.7
1892,2025/03,53003000000,19860000000,19358000000,14039000000,4837000000,999000000,9531.14,37.3
1893,2025/03,660127000000,172121000000,157233000000,111155000000,57011000000,58503000000,610.56,26.1
1897,2025/12,23650000000,19819000000,15757000000,17654000000,-,-,9241.12,82.3
1898,2025/03,82556000000,41692000000,40373000000,38421000000,5106000000,1600000000,1138.84,50.5
1899,2025/12,147476000000,90166000000,86672000000,78965000000,309000000,705000000,10845.03,60.9
189A,2025/05,9281227000,2120418000,2120418000,1207788000,5657194000,785593000,934.93,22.8
1904,2025/03,46411009000,27628955000,24480564000,17458136000,2700000000,-,4565.98,59.5
1905,2025/03,21073060000,13291330000,12740631000,9162481000,-,-,1949.26,61.4
1909,2025/03,50939579000,30517857000,24681208000,21846974000,1309037000,1751465000,3825.38,50.3
190A,2025/08,2681349000,2437010000,2434495000,-7507647000,-,-,35.29,90.8
1911,2025/12,2572032000000,1136786000000,762822000000,688527000000,140788000000,532159000000,1642,39
1914,2025/03,31779000000,22953266000,21154638000,14653069000,-,3350000000,1191.05,72.2
1921,2025/03,116489000000,72962893000,49264435000,48806090000,6220000000,9111500000,1690.47,53.5
1925,2025/03,7049323000000,2716745000000,2406094000000,2132816000000,170293000000,1034496000000,4226.17,37.1
1926,2025/03,122209000000,88674000000,83795000000,73300000000,1447000000,-,1972.66,71.9
1928,2026/01,5006637000000,2188237000000,1829156000000,1407164000000,414332000000,514714000000,3300.57,42.7
1929,2025/03,56946000000,34567000000,33321000000,25471000000,-,519000000,823.28,60.4
192A,2025/05,2125437000,1901513000,1901513000,1573477000,-,-,888.56,89.5
1930,2025/03,60707000000,43893000000,43535000000,38110000000,57000000,74000000,1568.2,72.3
1934,2025/03,233554000000,147713000000,143508000000,128136000000,3536000000,4700000000,2150.41,63.2
1938,2025/03,94625378000,63728897000,60855640000,56988902000,500000000,-,2574.78,67.3
1939,2025/03,99630000000,64890000000,61337000000,54219000000,80000000,5561000000,1370.85,65.1
1941,2025/03,293900000000,229601000000,206920000000,211618000000,-,-,4183.79,77.1
1942,2025/03,603220000000,380949000000,342508000000,326335000000,16791000000,4174000000,1799.73,61
1944,2025/03,821693000000,599738000000,528917000000,476757000000,14936000000,-,3014.06,72.9
1945,2025/03,108081000000,68427000000,65741000000,60406000000,14468000000,5134000000,2054.26,63.3
1946,2025/03,310561000000,136681000000,123256000000,110888000000,16327000000,20217000000,1472.08,44
1948,2025/03,33375000000,21914000000,20581000000,18303000000,500000000,-,2497.26,65.3
1949,2025/03,197577000000,119178000000,100288000000,89060000000,1447000000,852000000,3232.68,57.6
194A,2025/06,6049974000,2715608000,2715608000,278900000,100000000,1274194000,363.34,44.9
1950,2025/03,296388000000,209649000000,179259000000,168859000000,4100000000,-,3335.76,66
1951,2025/03,642505000000,326783000000,297436000000,278791000000,52126000000,57063000000,1551.71,50
1952,2025/03,118166000000,69294000000,58450000000,49895000000,3733000000,-,1527.52,58.6
1959,2025/03,488472000000,312152000000,298955000000,273660000000,1920000000,16779000000,4384.29,63.5
195A,2025/03,3554390000,1164757000,1163829000,100985000,220000000,1182547000,392.03,32.7
1960,2025/03,59039000000,30589000000,28052000000,27255000000,3051000000,-,1984.07,51.6
1961,2025/03,200839000000,106380000000,90195000000,84245000000,5759000000,1348000000,2051.61,52.9
1963,2025/03,784175000000,392260000000,364353000000,340488000000,250000000,13887000000,1616.43,49.8
1964,2025/03,48736000000,28609000000,24542000000,17845000000,2569000000,2938000000,3858.74,58.1
1965,2025/03,80163000000,52948000000,47235000000,42259000000,-,5000000,2516.35,66
1966,2025/03,45156530000,20563678000,19078853000,14021901000,6500000000,2818147000,2764.84,44.9
1967,2025/03,58847492000,41236123000,36123005000,27781730000,680000000,499277000,1659.06,69.9
1968,2025/03,155076000000,115057000000,107046000000,92394000000,-,6726000000,1817.53,73.3
1969,2025/03,334949000000,184283000000,162212000000,145846000000,17737000000,-,1360.32,53.9
196A,2025/06,2537288000,2230584000,2225985000,-1308073000,-,-,244.85,87.7
1972,2025/03,41429000000,27103000000,24829000000,22796000000,-,-,1405.86,65.4
1973,2024/03,284897000000,157481000000,150344000000,120740000000,6230000000,-,1024.09,53.5
1975,2025/03,80861000000,42027000000,38912000000,31878000000,3300000000,196000000,1631.77,52
1976,2025/03,88583000000,69206000000,63251000000,60358000000,-,700000000,1440.69,77.4
1979,2025/03,268448000000,156486000000,123528000000,118270000000,13200000000,116000000,2282.9,55.2
197A,2025/06,36515294000,17417670000,17378307000,14307551000,4500000000,8809081000,169.07,47.7
1980,2025/03,215309000000,109206000000,94754000000,88503000000,22927000000,675000000,831.8,49.7
1981,2025/03,28357669000,18869872000,17880794000,18070879000,-,-,1792.41,66.5
1982,2025/03,99915000000,71684000000,63041000000,55458000000,-,-,1600.97,70.6
198A,2025/05,1252878000,997544000,994374000,951578000,-,-,98.44,79.4
1992,2025/03,9485752000,6115618000,5189612000,3189572000,200000000,-,2682.97,64.5
1994,2025/12,12628705000,10796833000,10718318000,8001272000,448000000,78000000,1362.59,85.5
1997,2025/08,10971640000,7554229000,7373549000,6074456000,-,303259000,3735.93,68.9
1999,2025/06,9343662000,6441869000,5847073000,4345365000,1077334000,186005000,9201.65,62.1
2001,2025/03,399226000000,246484000000,191499000000,170683000000,17341000000,14685000000,3102.26,60.7
2002,2025/03,789713000000,502570000000,369583000000,341375000000,13141000000,11244000000,1674.04,61.4
2003,2025/03,62946000000,49426000000,44590000000,38519000000,420000000,-,5420.16,78.4
2004,2025/03,255504000000,138619000000,119217000000,101219000000,13516000000,7966000000,4156.71,52.8
2009,2025/12,46473976000,36794097000,29586850000,26082230000,1529940000,1258129000,1578.06,79.1
202A,2025/03,4712399000,3409124000,3408897000,3246969000,100000000,-,212.39,72.3
2053,2025/03,101582000000,67517000000,64315000000,56197000000,1300000000,6306000000,2279.94,66.4
2055,2025/03,29706000000,18237000000,17741000000,14547000000,3969000000,-,1006.91,61.4
2058,2025/03,14226000000,5134000000,4888000000,4719000000,3796000000,2355000000,1298.05,36.1
205A,2025/05,21122677000,3406595000,3396018000,1873535000,1895382000,4712547000,870.51,16.1
2060,2025/03,124172000000,55347000000,51884000000,32338000000,12878000000,14400000000,1429.02,44
206A,2025/09,3085692000,2708830000,2701707000,-2376435000,-,-,73.4,87.6
208A,2025/06,22067549000,10168769000,9346036000,7819622000,-,2798920000,955.85,45.7
2107,2025/03,-,-,-,-,-,-,1992.9,-
2108,2025/03,101215000000,73829000000,59637000000,48662000000,9037000000,11000000,5928.7,72.9
2109,2025/03,202196000000,119341000000,109419000000,94638000000,8552000000,17404000000,3550.66,56.7
2112,2025/03,29405000000,16618000000,14756000000,15656000000,2700000000,3860000000,605.47,56.5
2114,2025/03,33761000000,23874000000,21299000000,17743000000,2158000000,2348000000,464.44,70.6
2117,2025/03,110585000000,74586000000,73074000000,33566000000,15810000000,-,2247.81,66.1
211A,2025/07,7821551000,4361128000,4361128000,3719566000,-,540183000,4331.24,55.8
2120,2025/09,40915000000,26223000000,26022000000,7863000000,843000000,7453000000,203.08,63.6
2121,2025/03,225544000000,181333000000,175026000000,173149000000,1865000000,10587000000,2641.25,79.4
2122,2025/09,11181269000,5636153000,5654406000,4571022000,-,-,897.93,50.4
2124,2025/12,30895000000,22345000000,21913000000,23949000000,-,-,141.06,72.3
2127,2025/03,61786402000,47589584000,45995168000,56944323000,-,4000000000,148.71,76.4
212A,2025/10,10063618000,5880261000,5880261000,3218251000,-,83094000,355.94,58.4
2130,2025/03,11778350000,5808317000,5790104000,4628888000,-,-,438.82,49.3
2134,2025/03,2686039000,2039725000,1977205000,-9409332000,32164000,59738000,6.75,75
2136,2025/03,5904654000,3979882000,3979882000,3366761000,400000000,-,1024.37,67.4
2137,2025/03,7338823000,3346173000,3346173000,2093579000,100000000,5250000,1601.65,45.6
2138,2025/03,29530166000,9327255000,8944169000,10955702000,-,9506192000,960.74,31.1
2139,2025/03,5068995000,2113848000,2005000000,1553126000,620000000,437716000,297.51,39.9
2146,2025/03,66346000000,36323000000,29258000000,27692000000,-,5695000000,49.43,44.1
2148,2025/03,10998523000,9379975000,9379975000,7095527000,-,-,483.16,85.3
2150,2024/12,14113026000,11329679000,11123931000,7087285000,-,99872000,256.96,79
2151,2025/03,114451000000,47197000000,45060000000,26767000000,10452000000,22563000000,1576.67,39.4
2152,2025/03,13491726000,10278446000,9832347000,9860820000,-,-,951.48,76.2
2153,2025/05,52011000000,34053000000,33322000000,26517000000,-,6846000000,2167.71,65.5
2154,2025/06,122702000000,78867000000,78835000000,-613000000,5030000000,-,907.02,64.2
2156,2025/03,4238572000,2037804000,1971680000,1591992000,99000000,97207000,461.19,48
2157,2025/08,68588765000,35105556000,35104209000,29407342000,-,7188820000,425.81,51.2
2158,2025/03,6466803000,3227763000,1430921000,-104438000,1000000000,288593000,75.38,45.9
215A,2025/10,33609174000,14540647000,14533458000,7213182000,11110000000,668966000,144.74,43.2
2160,2025/12,83791000000,51842000000,50320000000,5644000000,1325000000,2020000000,903.92,60.1
2162,2025/03,36230607000,5283911000,6140618000,5011764000,16967801000,1562945000,274.42,14.5
2163,2026/01,-,-,-,-,-,-,491.56,-
2164,2025/08,2299493000,653233000,646946000,-305667000,205835000,728494000,87.23,28.4
2168,2025/05,265038000000,141134000000,134174000000,115788000000,6043000000,23671000000,3357.38,50.9
2169,2025/12,10600961000,8892662000,8745096000,6659658000,270000000,-,1303.98,83.9
2170,2025/12,40999000000,16817000000,13590000000,9424000000,-,-,122.5,33.1
2172,2025/06,1293147000,791836000,774911000,587615000,100000000,-,482.81,59.9
2173,2025/12,10182975000,5003044000,4995600000,4575245000,-,819310000,319.06,49.1
2175,2025/03,76540000000,47319000000,40531000000,43430000000,3500000000,2350000000,554.23,61.5
2179,2025/03,9472503000,3859048000,3871183000,3723413000,-,1470359000,695.59,40.7
2180,2025/06,10409778000,4701060000,4484049000,3365039000,180000000,429535000,304.55,43.7
2181,2025/03,539746000000,206382000000,189633000000,185466000000,10300000000,20000000000,85.48,35.1
2183,2025/03,16775302000,7253457000,5993881000,6437301000,600000000,1099942000,321.14,43.2
2185,2025/09,27137981000,21919478000,20732768000,21175489000,15000000,205795000,1667.76,79.5
2186,2026/02,-,-,-,-,-,-,574.91,-
218A,2025/07,1700752000,932603000,918962000,54951000,200000000,211850000,48.28,53.6
2193,2025/12,14102955000,12897326000,12897326000,5325233000,-,-,175.94,91.5
2195,2025/12,7681891000,3003201000,2810949000,2074546000,-,2267439000,167.5,38.3
2196,2025/03,21329848000,6271545000,6268925000,1798290000,200000000,5581902000,464.27,29.4
2198,2025/10,20802007000,12202999000,12089449000,11929718000,-,1577471000,417.86,58.4
219A,2025/12,-,-,-,-,-,-,314.56,-
2201,2025/03,209986000000,132393000000,117623000000,87076000000,-,10000000000,1523.09,62.3
2204,2025/03,43508953000,27037947000,24244442000,9321826000,-,-,4680.85,62.1
2206,2025/12,394129000000,278532000000,229646000000,228245000000,46000000,108000000,4365.33,70.5
2207,2025/03,83325000000,54912000000,32709000000,31965000000,-,8342000000,3243.84,65.9
2208,2025/03,95839000000,61492000000,61189000000,53947000000,810000000,2055000000,2543.6,64.2
2209,2025/03,36677633000,22123281000,18868831000,13198515000,900000000,-,1728.61,60.3
220A,2025/09,2879861000,2381771000,2386981000,2088541000,-,-,869.26,82.7
2211,2025/12,106366000000,66104000000,55920000000,33598000000,960000000,15000000000,2352.34,57
2212,2025/12,931878000000,510828000000,371761000000,406573000000,56129000000,39303000000,2327.86,49.3
2215,2025/12,16343000000,8555000000,8526000000,1572000000,-,-,1235.52,52.3
2216,2025/12,33607027000,18984919000,18650238000,13950987000,1000000000,-,450.54,56.5
2217,2026/01,-,-,-,-,-,-,990.67,-
2218,2025/03,14023348000,5320484000,2291297000,1255737000,550000000,1170500000,2542.52,37.9
2220,2025/03,123862000000,78908000000,65260000000,64498000000,6401000000,15417000000,1195.15,61
2221,2025/03,91104718000,67952167000,26386683000,26031047000,-,4400000,6531.13,74.6
2222,2025/03,51980000000,40085000000,39900000000,40274000000,-,-,259.66,77.1
2224,2025/03,4726075000,2039307000,3946250000,3896246000,1063328000,496704000,586.93,43.2
2226,2025/03,39055000000,19410000000,18941000000,14521000000,500000000,4711000000,1788,48.8
2229,2025/03,319169000000,215067000000,195348000000,205571000000,883000000,35000000000,1642.26,64.3
2264,2025/03,520423000000,271103000000,246316000000,220181000000,3553000000,10511000000,3187.4,51.2
2266,2025/12,60942000000,33325740000,30887839000,27839500000,6756386000,3774927000,1710.52,54.7
2267,2025/03,864317000000,629515000000,494577000000,546984000000,62583000000,24170000000,1925.41,66.4
2268,2025/12,31803890000,14981425000,14613040000,13654194000,-,1723291000,1554.76,47.1
2269,2025/03,1184472000000,791783000000,684010000000,649258000000,25376000000,12423000000,2762.33,63.2
2270,2025/03,431073000000,248037000000,207222000000,175746000000,16944000000,19650000000,3626.91,56.8
2281,2025/03,239610000000,130228000000,111107000000,93352000000,234000000,15856000000,2375.12,49.8
2282,2025/03,949272000000,537072000000,524293000000,387789000000,-,-,5299.56,55.2
2286,2025/03,27632000000,11791000000,10424000000,7252000000,4906000000,1820000000,1395.65,42.7
2288,2025/03,120920000000,67007000000,58006000000,33465000000,8275000000,5361000000,2704.28,54.7
228A,2025/11,2783103000,1325043000,1325043000,451321000,-,-,568.54,47.6
2291,2025/03,12521000000,1847000000,1172000000,-2941000000,4928000000,770000000,553.26,14.7
2292,2026/02,-,-,-,-,-,-,4170.41,-
2293,2025/03,12466767000,3480730000,2778760000,1018939000,3100367000,908326000,1695,27.9
2294,2025/04,19196000000,15044000000,14893000000,18438000000,-,-,1570.56,78.4
2296,2025/03,467009000000,286318000000,267543000000,150821000000,39093000000,20240000000,5033,61.1
2300,2026/02,-,-,-,-,-,-,437.74,-
2301,2025/10,17106248000,14879411000,14887256000,12770031000,-,-,1107.33,86.9
2303,2025/05,3074425000,2750449000,2758768000,2362611000,-,-,906.01,89.5
2304,2025/09,6317345000,3089813000,2872572000,2384491000,300000000,-,626.03,48.9
2305,2026/02,-,-,-,-,-,-,1779.89,-
2307,2025/03,10526790000,5853964000,5116741000,5811532000,1500000000,-,415.03,55.6
2311,2025/12,5842481000,4674890000,4155445000,4123072000,500000000,-,522.17,80
2315,2025/10,4287477000,3611303000,3429187000,2030582000,-,-,23.87,84.2
2317,2025/03,51762000000,32950000000,32419000000,39817000000,1550000000,-,90.82,62.7
231A,2025/09,3925248000,2909391000,2909391000,2383461000,-,-,1169.75,74.1
2321,2025/03,1707258000,1289423000,1229978000,-366273000,-,-,27.17,72
2323,2025/03,2149010000,957316000,935759000,254999000,-,768614000,44.54,43.5
